Date,State,City,AQI,PM2.5,PM10,NO2,SO2,CO,O3
2021-01-01,Andhra Pradesh,Amaravati,134.3,38.68,161.16,51.8,44.95,1.2,51.99
2021-01-16,Andhra Pradesh,Amaravati,92.9,23.69,92.9,41.53,42.28,0.92,46.8
2021-01-31,Andhra Pradesh,Amaravati,97.4,26.45,97.4,43.95,32.82,0.98,33.89
2021-02-15,Andhra Pradesh,Amaravati,72.1,26.36,72.1,39.87,34.28,0.47,27.5
2021-03-02,Andhra Pradesh,Amaravati,42.1,17.38,42.1,19.87,23.02,0.52,28.72
2021-03-17,Andhra Pradesh,Amaravati,83.1,23.04,83.1,36.41,32.21,1.01,27.3
2021-04-01,Andhra Pradesh,Amaravati,67.7,19.48,67.7,30.29,37.81,0.51,40.54
2021-04-16,Andhra Pradesh,Amaravati,56.5,15.44,56.5,24.22,27.14,0.71,32.1
2021-05-01,Andhra Pradesh,Amaravati,27.0,4.89,8.91,6.77,9.47,0.3,27.0
2021-05-16,Andhra Pradesh,Amaravati,55.2,21.03,38.23,18.26,15.43,0.58,55.2
2021-05-31,Andhra Pradesh,Amaravati,40.7,17.02,26.95,9.9,20.49,0.3,40.7
2021-06-15,Andhra Pradesh,Amaravati,51.3,11.06,34.0,26.93,27.27,0.47,51.3
2021-06-30,Andhra Pradesh,Amaravati,33.8,11.96,17.88,18.84,18.19,0.35,33.8
2021-07-15,Andhra Pradesh,Amaravati,25.4,9.82,12.21,10.11,6.89,0.31,25.4
2021-07-30,Andhra Pradesh,Amaravati,32.9,9.77,17.99,26.32,15.11,0.28,13.01
2021-08-14,Andhra Pradesh,Amaravati,33.4,12.35,33.4,10.19,18.04,0.34,15.37
2021-08-29,Andhra Pradesh,Amaravati,30.2,11.37,30.2,11.9,10.76,0.41,17.22
2021-09-13,Andhra Pradesh,Amaravati,42.9,17.31,42.9,13.27,22.69,0.47,27.76
2021-09-28,Andhra Pradesh,Amaravati,41.7,13.31,41.7,19.81,19.07,0.4,13.05
2021-10-13,Andhra Pradesh,Amaravati,83.7,29.28,83.7,38.21,43.18,1.1,48.77
2021-10-28,Andhra Pradesh,Amaravati,79.4,21.61,79.4,25.34,30.4,0.83,24.41
2021-11-12,Andhra Pradesh,Amaravati,34.2,12.76,34.2,13.27,10.56,0.34,21.74
2021-11-27,Andhra Pradesh,Amaravati,86.1,27.62,86.1,45.38,37.74,0.92,60.0
2021-12-12,Andhra Pradesh,Amaravati,167.5,32.95,201.0,54.92,61.27,2.28,109.52
2021-12-27,Andhra Pradesh,Amaravati,103.2,26.59,123.84,55.43,53.19,1.14,65.3
2022-01-11,Andhra Pradesh,Amaravati,86.5,27.14,86.5,34.07,32.35,1.17,58.99
2022-01-26,Andhra Pradesh,Amaravati,96.2,28.68,96.2,41.43,50.42,1.05,47.26
2022-02-10,Andhra Pradesh,Amaravati,83.8,15.32,83.8,27.72,34.6,0.84,45.21
2022-02-25,Andhra Pradesh,Amaravati,62.0,19.71,62.0,25.56,27.41,0.79,31.11
